"id","cid","smiles","molecular_weight","new_average_distance"
23029053,45969237,"C1=COC(=C1)CNC(=O)C2=CC3=C(N2)C=CC(=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F","427.114376032","0.5169006"
23029163,45969413,"C1=CC(=CC=C1C2=NOC(=N2)CCNC(=O)COC3=CC=C(C=C3)Cl)C(F)(F)F","425.07540368","0.50036865"
23031036,45971633,"C1=CC(=CC(=C1)Cl)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)O)C4=CC=NC=C4","422.0604244","0.5097145"
23031195,45971819,"C=CCN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3)C4=CC=C(C=C4)[N+](=O)[O-]","486.147409564","0.51350236"
23031385,45972068,"C1=CC=C(C(=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)F)C5=CC=NC=C5)F","499.12783766800004","0.54753244"
23031386,45972069,"COC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3C4=CC=CC=C4F)C5=CC=NC=C5","511.1478241640001","0.5220729"
23031390,45972073,"CC1=CC(=CC=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3C4=CC=CC=C4F)C5=CC=NC=C5","495.15290954400007","0.53725165"
23031391,45972075,"CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3C4=CC=CC=C4F)C5=CC=NC=C5)C","509.16855960800007","0.53725165"
23031421,45972109,"COCCNC(=O)C1=CC=C(C=C1)CSC2=NN=C(N2C3=CC=C(C=C3)F)C4=CC=NC=C4","463.14782416400004","0.52852905"
23031424,45972113,"COCCNC(=O)C1=CC=C(C=C1)CSC2=NN=C(N2CC3=CC=CC=C3)C4=CC=NC=C4","459.17289604000007","0.55756354"
