"id","cid","smiles","molecular_weight","average_distance","new_average_distance"
2324651,2771800,"C1=CC2=C(C=C1C(=O)O)NC(=N2)C3=CC=NC=C3","239.069476528","0.50785434","0.500447"
2326040,2773243,"B(C1=CC=C(C=C1)C(=O)NCC2=CC=CC=C2)(O)O","255.10667370800002","0.49579284","0.53874195"
2402430,2853090,"COC1=CC=C(C=C1)NC(=O)C=CC2=CC=C(C=C2)[N+](=O)[O-]","298.09535692799994","0.53149784","0.53149784"
2402719,2853386,"CCCCOC1=CC=C(C=C1)CC(=O)NCC(=O)NCCC2=CC=CC=C2","368.209992756","0.53009194","0.5261643"
2404835,2855531,"CC(=O)C=CC=CC=CC1=CC=C(C=C1)OC","228.115029752","0.5072637","0.519789"
2405734,2856490,"COC1=CC=C(C=C1)C=CC(=O)NCC2=CN=CC=C2","268.121177752","0.5063051","0.50388086"
2475574,2927878,"CC1=CC(=CC=C1)NC(=O)C2=CN(N=C2C3=CC=C(C=C3)OC)C4=CC=CC=C4","383.163376912","0.5357393","0.52983373"
2329584,2776857,"C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CBr","295.96189600800005","0.51455027","0.50909203"
2476408,2928723,"CC1=CC=C(C=C1)C2=NN(C=C2C=CC(=O)N3C4=CC=CC=C4N=N3)C5=CC=CC=C5","405.15896022800007","0.5094697","0.52792436"
2478478,2930821,"C1=CC(=CC(=C1)Cl)CCNC(=O)CCCCC(=O)NCCC2=CC(=CC=C2)Cl","420.137133432","0.5888528","0.5651948"
2409039,2859900,"COC1=CC=C(C=C1)CNC(=O)C=CC2=CC=C(C=C2)OC","297.136493468","0.64214116","0.64214116"
2478604,2930948,"CCN(CC)C1=CC=C(C=C1)NC(=O)CCCCC(=O)NC2=CC=C(C=C2)N(CC)CC","438.29947645600004","0.5156435","0.51827776"
2478750,2931095,"CC(CNC(=O)C=CC1=CC=C(C=C1)OC)NC(=O)C=CC2=CC=C(C=C2)OC","394.189257312","0.51813906","0.51813906"
2479121,2931469,"C1=CC=C(C=C1)CCCNC(=O)CCC(=O)NCCCC2=CC=CC=C2","352.215078136","0.64941174","0.6480218"
2479130,2931478,"COC1=CC=C(C=C1)C=CC(=O)NCCCC2=CC=CC=C2","295.15722891200005","0.49726158","0.50320333"
2479154,2931502,"C1=CC=C(C=C1)CCCCNC(=O)CCSCCC(=O)NCCCCC2=CC=CC=C2","440.249749392","0.5756974","0.5535621"
2479299,2931647,"C1CCCC(CC1)NC(=O)CCCCC(=O)NC2CCCCCC2","336.277678392","0.50396824","0.518254"
